scope,workload,mode,metric,count,mean,median,min,max,stddev,status
SINGLE_APPLICATION,hot,INTEGRATED,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,INTEGRATED,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,INTEGRATED,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,hot,INTEGRATED,runtime_cycle_total_us,5,1010352.405,1008748.111,1002776.787,1021994.096,7363.012,MEASURED
SINGLE_APPLICATION,hot,INTEGRATED,completion_latency_us,5,2359.503,2166.593,1349.411,4081.096,1035.910,MEASURED
SINGLE_APPLICATION,moderate,BASELINE,benchmark_elapsed_ms,5,286.278,281.723,232.104,331.245,40.997,MEASURED
SINGLE_APPLICATION,moderate,BASELINE,benchmark_throughput_ops_sec,5,7106113.190,7099166.212,6037834.241,8616817.436,1052338.153,MEASURED
SINGLE_APPLICATION,moderate,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,BASELINE,runtime_cpu_peak_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,BASELINE,discovery_scan_count,5,0.000,0.000,0.000,0.000,0.000,MEASURED
SINGLE_APPLICATION,moderate,BASELINE,discovery_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,INTEGRATED,benchmark_elapsed_ms,5,311.028,324.281,266.308,371.440,44.396,MEASURED
SINGLE_APPLICATION,moderate,INTEGRATED,benchmark_throughput_ops_sec,5,6535434.945,6167487.916,5384452.376,7510101.593,924980.390,MEASURED
SINGLE_APPLICATION,moderate,INTEGRATED,runtime_cpu_percent,5,26.913,26.683,25.314,29.691,1.798,MEASURED
SINGLE_APPLICATION,moderate,INTEGRATED,runtime_cpu_peak_percent,5,549.003,531.868,415.758,813.037,162.666,MEASURED
SINGLE_APPLICATION,moderate,INTEGRATED,runtime_rss_kb,5,6039.200,6088.000,5928.000,6112.000,84.872,MEASURED
SINGLE_APPLICATION,moderate,INTEGRATED,runtime_vms_kb,5,156804.000,156804.000,156804.000,156804.000,0.000,MEASURED
SINGLE_APPLICATION,moderate,INTEGRATED,discovery_scan_count,5,4.000,4.000,4.000,4.000,0.000,MEASURED
SINGLE_APPLICATION,moderate,INTEGRATED,discovery_total_us,5,254340.337,232569.973,216344.972,354060.178,56408.302,MEASURED
SINGLE_APPLICATION,moderate,INTEGRATED,discovery_us,5,63585.084,58142.493,54086.243,88515.045,14102.076,MEASURED
SINGLE_APPLICATION,moderate,INTEGRATED,queue_wait_us,5,430.523,254.348,95.536,1063.639,414.544,MEASURED
SINGLE_APPLICATION,moderate,INTEGRATED,worker_execution_us,5,1951.483,1945.129,1572.107,2375.340,356.495,MEASURED
SINGLE_APPLICATION,moderate,INTEGRATED,phase3_us,5,1946.551,1939.390,1568.038,2370.382,356.092,MEASURED
SINGLE_APPLICATION,moderate,INTEGRATED,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,INTEGRATED,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,INTEGRATED,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,INTEGRATED,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,INTEGRATED,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,moderate,INTEGRATED,runtime_cycle_total_us,5,1011534.603,1010850.075,1000310.435,1021099.208,8662.610,MEASURED
SINGLE_APPLICATION,moderate,INTEGRATED,completion_latency_us,5,2441.475,2543.589,1714.693,3095.299,666.061,MEASURED
SINGLE_APPLICATION,cold,BASELINE,benchmark_elapsed_ms,5,282.677,262.293,253.489,334.011,34.761,MEASURED
SINGLE_APPLICATION,cold,BASELINE,benchmark_throughput_ops_sec,5,7156185.811,7625052.850,5987818.807,7889890.207,824635.719,MEASURED
SINGLE_APPLICATION,cold,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,BASELINE,runtime_cpu_peak_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,BASELINE,discovery_scan_count,5,0.000,0.000,0.000,0.000,0.000,MEASURED
SINGLE_APPLICATION,cold,BASELINE,discovery_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,INTEGRATED,benchmark_elapsed_ms,5,305.176,299.012,266.562,346.132,35.487,MEASURED
SINGLE_APPLICATION,cold,INTEGRATED,benchmark_throughput_ops_sec,5,6624508.299,6688704.477,5778149.120,7502946.960,763710.381,MEASURED
SINGLE_APPLICATION,cold,INTEGRATED,runtime_cpu_percent,5,24.940,25.634,23.819,25.763,1.021,MEASURED
SINGLE_APPLICATION,cold,INTEGRATED,runtime_cpu_peak_percent,5,649.481,780.276,410.283,822.305,211.505,MEASURED
SINGLE_APPLICATION,cold,INTEGRATED,runtime_rss_kb,5,6025.600,6076.000,5912.000,6112.000,92.373,MEASURED
SINGLE_APPLICATION,cold,INTEGRATED,runtime_vms_kb,5,156804.000,156804.000,156804.000,156804.000,0.000,MEASURED
SINGLE_APPLICATION,cold,INTEGRATED,discovery_scan_count,5,4.000,4.000,4.000,4.000,0.000,MEASURED
SINGLE_APPLICATION,cold,INTEGRATED,discovery_total_us,5,215829.354,224369.901,197555.405,231743.194,15874.685,MEASURED
SINGLE_APPLICATION,cold,INTEGRATED,discovery_us,5,53957.339,56092.475,49388.851,57935.799,3968.671,MEASURED
SINGLE_APPLICATION,cold,INTEGRATED,queue_wait_us,5,305.800,210.627,124.361,585.483,210.193,MEASURED
SINGLE_APPLICATION,cold,INTEGRATED,worker_execution_us,5,2950.329,2784.985,2518.341,3613.514,450.917,MEASURED
SINGLE_APPLICATION,cold,INTEGRATED,phase3_us,5,2944.783,2779.006,2512.961,3608.546,451.032,MEASURED
SINGLE_APPLICATION,cold,INTEGRATED,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,INTEGRATED,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,INTEGRATED,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,INTEGRATED,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,INTEGRATED,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,cold,INTEGRATED,runtime_cycle_total_us,5,1006184.024,1005803.933,1002907.469,1010157.163,3252.014,MEASURED
SINGLE_APPLICATION,cold,INTEGRATED,completion_latency_us,5,3316.246,3428.043,2703.649,3817.263,495.414,MEASURED
SINGLE_APPLICATION,mixed,BASELINE,benchmark_elapsed_ms,5,245.896,238.797,220.622,281.623,24.794,MEASURED
SINGLE_APPLICATION,mixed,BASELINE,benchmark_throughput_ops_sec,5,8197644.160,8375325.540,7101691.427,9065286.348,796830.272,MEASURED
SINGLE_APPLICATION,mixed,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,BASELINE,runtime_cpu_peak_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,BASELINE,discovery_scan_count,5,0.000,0.000,0.000,0.000,0.000,MEASURED
SINGLE_APPLICATION,mixed,BASELINE,discovery_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,INTEGRATED,benchmark_elapsed_ms,5,265.825,262.477,232.630,292.895,24.769,MEASURED
SINGLE_APPLICATION,mixed,INTEGRATED,benchmark_throughput_ops_sec,5,7577323.721,7619715.367,6828376.064,8597332.925,720399.579,MEASURED
SINGLE_APPLICATION,mixed,INTEGRATED,runtime_cpu_percent,5,25.057,24.381,23.331,27.302,1.804,MEASURED
SINGLE_APPLICATION,mixed,INTEGRATED,runtime_cpu_peak_percent,5,579.068,422.538,416.240,833.807,219.671,MEASURED
SINGLE_APPLICATION,mixed,INTEGRATED,runtime_rss_kb,5,6004.800,5940.000,5852.000,6224.000,150.901,MEASURED
SINGLE_APPLICATION,mixed,INTEGRATED,runtime_vms_kb,5,156804.000,156804.000,156804.000,156804.000,0.000,MEASURED
SINGLE_APPLICATION,mixed,INTEGRATED,discovery_scan_count,5,4.000,4.000,4.000,4.000,0.000,MEASURED
SINGLE_APPLICATION,mixed,INTEGRATED,discovery_total_us,5,214357.016,211662.372,194731.407,237150.106,18457.529,MEASURED
SINGLE_APPLICATION,mixed,INTEGRATED,discovery_us,5,53589.254,52915.593,48682.852,59287.526,4614.382,MEASURED
SINGLE_APPLICATION,mixed,INTEGRATED,queue_wait_us,5,344.364,137.694,130.100,790.801,302.322,MEASURED
SINGLE_APPLICATION,mixed,INTEGRATED,worker_execution_us,5,3268.435,3162.321,2187.585,4806.432,987.434,MEASURED
SINGLE_APPLICATION,mixed,INTEGRATED,phase3_us,5,3263.171,3157.415,2182.420,4800.545,987.111,MEASURED
SINGLE_APPLICATION,mixed,INTEGRATED,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,INTEGRATED,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,INTEGRATED,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,mixed,INTEGRATED,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
