scope,application_count,worker_count,mode,metric,count,mean,median,min,max,stddev,status
RUN,4,2,BASELINE,saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,4,2,BASELINE,discovery_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,4,2,INTEGRATED,aggregate_throughput,5,11489232.284,11578373.366,10949944.701,11770710.797,315638.513,MEASURED
RUN,4,2,INTEGRATED,group_makespan_ms,5,6215.326,6163.640,6062.924,6517.378,175.865,MEASURED
RUN,4,2,INTEGRATED,runtime_cpu_percent,5,31.232,31.252,29.257,32.320,1.231,MEASURED
RUN,4,2,INTEGRATED,runtime_rss_kb,5,6140.800,6164.000,5912.000,6308.000,144.178,MEASURED
RUN,4,2,INTEGRATED,runtime_vms_kb,5,156800.000,156800.000,156800.000,156800.000,0.000,MEASURED
RUN,4,2,INTEGRATED,max_queue_depth,5,3.000,3.000,3.000,3.000,0.000,MEASURED
RUN,4,2,INTEGRATED,deferred_jobs,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,4,2,INTEGRATED,saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,4,2,INTEGRATED,discovery_total_us,5,1773594.960,1788515.270,1605537.044,1912914.009,114196.440,MEASURED
RUN,8,2,BASELINE,aggregate_throughput,5,13357308.216,13578348.906,11762142.428,14338254.797,972775.806,MEASURED
RUN,8,2,BASELINE,group_makespan_ms,5,10734.108,10511.576,9954.478,12134.681,835.205,MEASURED
RUN,8,2,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,8,2,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,8,2,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,8,2,BASELINE,max_queue_depth,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,8,2,BASELINE,deferred_jobs,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,8,2,BASELINE,saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,8,2,BASELINE,discovery_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
RUN,8,2,INTEGRATED,aggregate_throughput,5,13174063.002,12789288.452,12528805.494,14409837.232,757631.778,MEASURED
RUN,8,2,INTEGRATED,group_makespan_ms,5,10861.567,11160.109,9905.028,11392.135,596.192,MEASURED
RUN,8,2,INTEGRATED,runtime_cpu_percent,5,20.114,19.985,19.412,21.199,0.681,MEASURED
RUN,8,2,INTEGRATED,runtime_rss_kb,5,6267.200,6272.000,6208.000,6316.000,39.131,MEASURED
RUN,8,2,INTEGRATED,runtime_vms_kb,5,158717.600,156836.000,156836.000,166244.000,4207.386,MEASURED
RUN,8,2,INTEGRATED,max_queue_depth,5,7.000,7.000,7.000,7.000,0.000,MEASURED
RUN,8,2,INTEGRATED,deferred_jobs,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,8,2,INTEGRATED,saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
RUN,8,2,INTEGRATED,discovery_total_us,5,3278029.948,3271898.209,3047286.119,3483557.711,176224.274,MEASURED
