run_id,variant,run_type,run_index,application_count,worker_count,app_id,pid,start_time_ticks,generation,phase,serial_wait_us,artifact_prepare_us,phase3_artifact_scan_us,parent_prepare_us,fork_wait_wall_us,child_profiled_total_us,startup_uninstrumented_residual_us,direct_api_us,file_io_us,result_parse_us,total_phase_us,pipeline_total_us,pipeline_service_rate_apps_sec,aggregate_throughput,benchmark_elapsed_ms,runtime_cpu_percent,runtime_rss_kb,runtime_vms_kb,completion_latency_us,status,notes
phase46-a1-measured-5,SUBPROCESS_SERIAL_BASELINE,MEASURED,5,1,2,APP_253888_47202628,253888,47202628,3,phase5,209.977,137.874,74.882,60.120,5563.041,1181.400,4381.641,,NA,NA,5682.297,61731.299,48.598,4642409.358,3817.349,21.930,5660.000,155620.000,NA,OK,Error: target PID 253888 is unavailable for one sample.
phase46-a1-measured-5,SUBPROCESS_SERIAL_BASELINE,MEASURED,5,1,2,APP_253888_47202628,253888,47202628,3,phase6,209.977,137.874,74.882,57.984,6390.306,551.402,5838.904,,196.626,117.407,6505.299,61731.299,48.598,4642409.358,3817.349,21.930,5660.000,155620.000,NA,OK,Error: target PID 253888 is unavailable for one sample.
phase46-a1-measured-6,SUBPROCESS_SERIAL_BASELINE,MEASURED,6,1,2,APP_253909_47203044,253909,47203044,1,phase4,199.328,146.317,57.222,32.610,4270.466,305.481,3964.985,,270.625,NA,4357.283,45293.363,66.235,4994533.829,3547.743,21.694,5528.000,155620.000,NA,OK,Error: target PID 253909 is unavailable for one sample.
phase46-a1-measured-6,SUBPROCESS_SERIAL_BASELINE,MEASURED,6,1,2,APP_253909_47203044,253909,47203044,1,phase5,199.328,146.317,57.222,32.601,4381.109,1153.731,3227.378,,NA,NA,4455.679,45293.363,66.235,4994533.829,3547.743,21.694,5528.000,155620.000,NA,OK,Error: target PID 253909 is unavailable for one sample.
phase46-a1-measured-6,SUBPROCESS_SERIAL_BASELINE,MEASURED,6,1,2,APP_253909_47203044,253909,47203044,1,phase6,199.328,146.317,57.222,41.107,3888.196,658.807,3229.389,,184.783,56.590,3970.798,45293.363,66.235,4994533.829,3547.743,21.694,5528.000,155620.000,NA,OK,Error: target PID 253909 is unavailable for one sample.
phase46-a1-measured-6,SUBPROCESS_SERIAL_BASELINE,MEASURED,6,1,2,APP_253909_47203044,253909,47203044,2,phase4,183.479,109.463,68.024,38.182,3722.965,247.344,3475.621,,387.500,NA,3803.179,45293.363,66.235,4994533.829,3547.743,21.694,5528.000,155620.000,NA,OK,Error: target PID 253909 is unavailable for one sample.
phase46-a1-measured-6,SUBPROCESS_SERIAL_BASELINE,MEASURED,6,1,2,APP_253909_47203044,253909,47203044,2,phase5,183.479,109.463,68.024,32.890,4070.219,981.385,3088.834,,NA,NA,4142.547,45293.363,66.235,4994533.829,3547.743,21.694,5528.000,155620.000,NA,OK,Error: target PID 253909 is unavailable for one sample.
phase46-a1-measured-6,SUBPROCESS_SERIAL_BASELINE,MEASURED,6,1,2,APP_253909_47203044,253909,47203044,2,phase6,183.479,109.463,68.024,33.112,3967.415,560.963,3406.452,,138.319,62.002,4042.474,45293.363,66.235,4994533.829,3547.743,21.694,5528.000,155620.000,NA,OK,Error: target PID 253909 is unavailable for one sample.
phase46-a1-measured-6,SUBPROCESS_SERIAL_BASELINE,MEASURED,6,1,2,APP_253909_47203044,253909,47203044,3,phase4,191.996,104.815,67.451,59.661,4412.971,368.595,4044.376,,486.620,NA,4532.404,45293.363,66.235,4994533.829,3547.743,21.694,5528.000,155620.000,NA,OK,Error: target PID 253909 is unavailable for one sample.
phase46-a1-measured-6,SUBPROCESS_SERIAL_BASELINE,MEASURED,6,1,2,APP_253909_47203044,253909,47203044,3,phase5,191.996,104.815,67.451,63.684,5123.576,1191.800,3931.776,,NA,NA,5239.832,45293.363,66.235,4994533.829,3547.743,21.694,5528.000,155620.000,NA,OK,Error: target PID 253909 is unavailable for one sample.
phase46-a1-measured-6,SUBPROCESS_SERIAL_BASELINE,MEASURED,6,1,2,APP_253909_47203044,253909,47203044,3,phase6,191.996,104.815,67.451,38.030,6920.025,520.910,6399.115,,167.361,75.774,7006.554,45293.363,66.235,4994533.829,3547.743,21.694,5528.000,155620.000,NA,OK,Error: target PID 253909 is unavailable for one sample.
phase46-a1-measured-7,SUBPROCESS_SERIAL_BASELINE,MEASURED,7,1,2,APP_253923_47203464,253923,47203464,1,phase4,226.124,135.217,60.770,84.779,4792.784,390.880,4401.904,,352.494,NA,4941.669,48215.690,62.220,4997435.845,3544.077,24.567,5612.000,155620.000,NA,OK,Error: target PID 253923 is unavailable for one sample.
phase46-a1-measured-7,SUBPROCESS_SERIAL_BASELINE,MEASURED,7,1,2,APP_253923_47203464,253923,47203464,1,phase5,226.124,135.217,60.770,47.946,6873.222,1826.950,5046.272,,NA,NA,6972.886,48215.690,62.220,4997435.845,3544.077,24.567,5612.000,155620.000,NA,OK,Error: target PID 253923 is unavailable for one sample.
phase46-a1-measured-7,SUBPROCESS_SERIAL_BASELINE,MEASURED,7,1,2,APP_253923_47203464,253923,47203464,1,phase6,226.124,135.217,60.770,39.275,4453.841,659.352,3794.489,,181.964,69.306,4540.477,48215.690,62.220,4997435.845,3544.077,24.567,5612.000,155620.000,NA,OK,Error: target PID 253923 is unavailable for one sample.
phase46-a1-measured-7,SUBPROCESS_SERIAL_BASELINE,MEASURED,7,1,2,APP_253923_47203464,253923,47203464,2,phase4,226.986,113.096,75.493,62.567,4416.621,276.683,4139.938,,428.773,NA,4528.246,48215.690,62.220,4997435.845,3544.077,24.567,5612.000,155620.000,NA,OK,Error: target PID 253923 is unavailable for one sample.
phase46-a1-measured-7,SUBPROCESS_SERIAL_BASELINE,MEASURED,7,1,2,APP_253923_47203464,253923,47203464,2,phase5,226.986,113.096,75.493,39.428,4500.412,1086.379,3414.033,,NA,NA,4620.986,48215.690,62.220,4997435.845,3544.077,24.567,5612.000,155620.000,NA,OK,Error: target PID 253923 is unavailable for one sample.
phase46-a1-measured-7,SUBPROCESS_SERIAL_BASELINE,MEASURED,7,1,2,APP_253923_47203464,253923,47203464,2,phase6,226.986,113.096,75.493,39.330,4859.379,681.446,4177.933,,180.458,77.255,4946.847,48215.690,62.220,4997435.845,3544.077,24.567,5612.000,155620.000,NA,OK,Error: target PID 253923 is unavailable for one sample.
phase46-a1-measured-7,SUBPROCESS_SERIAL_BASELINE,MEASURED,7,1,2,APP_253923_47203464,253923,47203464,3,phase4,184.671,108.524,62.765,40.477,4259.667,329.823,3929.844,,454.801,NA,4348.154,48215.690,62.220,4997435.845,3544.077,24.567,5612.000,155620.000,NA,OK,Error: target PID 253923 is unavailable for one sample.
