scope,application_count,worker_count,mode,metric,count,mean,median,min,max,stddev,status
APPLICATION,2,1,INTEGRATED,mean_phase5_us,10,6641.699,6173.374,4877.135,9974.892,1699.636,MEASURED
APPLICATION,2,1,INTEGRATED,mean_phase6_us,10,5517.169,4962.007,4209.725,9732.635,1834.050,MEASURED
APPLICATION,2,2,BASELINE,benchmark_elapsed_ms,10,3660.204,3664.770,3580.709,3724.420,45.438,MEASURED
APPLICATION,2,2,BASELINE,benchmark_throughput,10,4875061.663,4868310.201,4790337.807,4982597.399,60860.153,MEASURED
APPLICATION,2,2,BASELINE,mean_queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,2,BASELINE,mean_completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,2,BASELINE,mean_pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,2,BASELINE,mean_phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,2,BASELINE,mean_phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,2,BASELINE,mean_phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,2,BASELINE,mean_phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,2,INTEGRATED,benchmark_elapsed_ms,10,3786.651,3778.471,3689.572,3884.048,52.981,MEASURED
APPLICATION,2,2,INTEGRATED,benchmark_throughput,10,4712441.348,4721860.262,4593462.826,4835583.149,65868.358,MEASURED
APPLICATION,2,2,INTEGRATED,mean_queue_wait_us,10,311.674,355.701,126.876,406.957,98.324,MEASURED
APPLICATION,2,2,INTEGRATED,mean_completion_latency_us,10,2614.986,2627.957,2362.815,2828.432,130.598,MEASURED
APPLICATION,2,2,INTEGRATED,mean_pipeline_serial_wait_us,10,8844.467,8155.428,185.567,17961.372,9133.920,MEASURED
APPLICATION,2,2,INTEGRATED,mean_phase3_us,10,2261.403,2254.384,2197.614,2375.798,54.042,MEASURED
APPLICATION,2,2,INTEGRATED,mean_phase4_us,10,4877.364,4706.858,4051.529,6330.861,748.868,MEASURED
APPLICATION,2,2,INTEGRATED,mean_phase5_us,10,6303.042,5955.783,5254.107,7870.099,871.612,MEASURED
APPLICATION,2,2,INTEGRATED,mean_phase6_us,10,5562.574,5773.023,4297.075,6973.672,840.925,MEASURED
APPLICATION,2,4,BASELINE,benchmark_elapsed_ms,10,3366.148,3367.573,3185.128,3620.976,147.489,MEASURED
APPLICATION,2,4,BASELINE,benchmark_throughput,10,5309248.485,5298984.738,4927188.150,5601418.008,229789.973,MEASURED
APPLICATION,2,4,BASELINE,mean_queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,4,BASELINE,mean_completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,4,BASELINE,mean_pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,4,BASELINE,mean_phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,4,BASELINE,mean_phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,4,BASELINE,mean_phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,4,BASELINE,mean_phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,4,INTEGRATED,benchmark_elapsed_ms,10,3495.134,3459.387,3303.088,3778.600,177.134,MEASURED
APPLICATION,2,4,INTEGRATED,benchmark_throughput,10,5116213.981,5158267.553,4721651.518,5401379.353,254971.735,MEASURED
APPLICATION,2,4,INTEGRATED,mean_queue_wait_us,10,206.878,193.597,146.659,335.475,53.825,MEASURED
APPLICATION,2,4,INTEGRATED,mean_completion_latency_us,10,2378.373,2340.570,2168.436,2698.794,179.961,MEASURED
APPLICATION,2,4,INTEGRATED,mean_pipeline_serial_wait_us,10,8728.382,7583.767,163.683,20052.714,9083.739,MEASURED
APPLICATION,2,4,INTEGRATED,mean_phase3_us,10,2124.771,2120.236,1886.712,2413.509,159.559,MEASURED
APPLICATION,2,4,INTEGRATED,mean_phase4_us,10,4610.345,4490.566,3760.447,5698.127,612.230,MEASURED
APPLICATION,2,4,INTEGRATED,mean_phase5_us,10,5849.977,5940.936,4552.215,7179.960,920.832,MEASURED
APPLICATION,2,4,INTEGRATED,mean_phase6_us,10,4920.066,4889.694,4086.638,5809.367,580.022,MEASURED
APPLICATION,4,1,BASELINE,benchmark_elapsed_ms,20,4588.678,4584.292,4131.065,5223.794,348.534,MEASURED
APPLICATION,4,1,BASELINE,benchmark_throughput,20,3908896.070,3891818.224,3415377.904,4318796.887,288986.455,MEASURED
APPLICATION,4,1,BASELINE,mean_queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
