timestamp,interval_ms,mode,run_type,run_index,benchmark_elapsed_ms,benchmark_throughput_ops_sec,runtime_cpu_percent,runtime_rss_kb,discovery_scans,discovery_total_us,discovery_mean_us,runtime_cycle_total_us,status,notes
2026-08-20T15:15:23Z,250,BASELINE,MEASURED,4,1200.584,15335474.708,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:24Z,250,INTEGRATED,MEASURED,4,1200.189,16962454.916,27.279,4900.000,5.000,293320.724,58664.145,1242206.987,MEASURED,
2026-08-20T15:15:25Z,250,BASELINE,MEASURED,5,1200.205,18427998.519,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:26Z,250,INTEGRATED,MEASURED,5,1200.114,18492531.180,23.581,4896.000,5.000,232405.656,46481.131,1226352.286,MEASURED,
2026-08-20T15:15:29Z,500,BASELINE,WARMUP,1,1200.142,18275387.674,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:30Z,500,INTEGRATED,WARMUP,1,1200.409,18157013.119,15.345,5084.000,3.000,130650.729,43550.243,1234715.303,MEASURED,
2026-08-20T15:15:32Z,500,BASELINE,WARMUP,2,1200.165,16567750.838,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:33Z,500,INTEGRATED,WARMUP,2,1200.132,18182535.315,15.432,4632.000,3.000,135368.097,45122.699,1231336.939,MEASURED,
2026-08-20T15:15:34Z,500,BASELINE,WARMUP,3,1200.149,18741146.528,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:35Z,500,INTEGRATED,WARMUP,3,1200.239,18592129.987,15.295,4892.000,3.000,146912.778,48970.926,1239680.331,MEASURED,
2026-08-20T15:15:37Z,500,BASELINE,WARMUP,4,1200.153,18729125.591,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:38Z,500,INTEGRATED,WARMUP,4,1200.149,18844374.016,17.155,4692.000,3.000,152441.113,50813.704,1219360.644,MEASURED,
2026-08-20T15:15:39Z,500,BASELINE,WARMUP,5,1200.149,19084990.853,NA,NA,NA,NA,NA,NA,MEASURED,
2026-08-20T15:15:40Z,500,INTEGRATED,WARMUP,5,1200.146,18892203.330,14.648,4696.000,3.000,133662.114,44554.038,1224469.941,MEASURED,
2026-08-20T15:15:41Z,500,BASELINE,MEASURED,1,1200.178,18825153.626,NA,NA,NA,NA,NA,NA,MEASURED,
