variant,application_count,phase,metric,count,mean,median,min,max,stddev,status
PHASE4_IN_PROCESS,2,phase6,pipeline_service_rate_apps_sec,41,61.328,61.440,54.222,67.042,4.289,MEASURED
PHASE4_IN_PROCESS,2,phase6,aggregate_throughput,41,7545486.573,7488611.324,6878122.662,8126215.384,480526.362,MEASURED
PHASE4_IN_PROCESS,2,phase6,runtime_cpu_percent,41,29.727,29.685,29.396,30.263,0.291,MEASURED
PHASE4_IN_PROCESS,2,phase6,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,4,phase4,serial_wait_us,98,35596.209,31982.787,194.963,107216.340,28679.843,MEASURED
PHASE4_IN_PROCESS,4,phase4,parent_prepare_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,4,phase4,fork_wait_wall_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,4,phase4,child_profiled_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,4,phase4,startup_uninstrumented_residual_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,4,phase4,direct_api_us,98,577.546,493.533,234.432,2817.412,347.243,MEASURED
PHASE4_IN_PROCESS,4,phase4,file_io_us,98,670.942,523.178,281.200,7920.677,840.329,MEASURED
PHASE4_IN_PROCESS,4,phase4,result_parse_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,4,phase4,total_phase_us,98,615.244,504.265,240.596,3273.957,440.997,MEASURED
PHASE4_IN_PROCESS,4,phase4,pipeline_total_us,98,449994.205,441289.897,371092.719,505805.086,46523.489,MEASURED
PHASE4_IN_PROCESS,4,phase4,pipeline_service_rate_apps_sec,98,43.958,45.322,39.541,48.505,3.308,MEASURED
PHASE4_IN_PROCESS,4,phase4,aggregate_throughput,98,12548112.498,12514958.774,12377415.857,12773571.831,130390.323,MEASURED
PHASE4_IN_PROCESS,4,phase4,runtime_cpu_percent,98,33.376,33.325,32.518,34.151,0.546,MEASURED
PHASE4_IN_PROCESS,4,phase4,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,4,phase5,serial_wait_us,98,35596.209,31982.787,194.963,107216.340,28679.843,MEASURED
PHASE4_IN_PROCESS,4,phase5,parent_prepare_us,98,50.748,47.224,33.079,109.207,12.565,MEASURED
PHASE4_IN_PROCESS,4,phase5,fork_wait_wall_us,98,10487.833,9573.907,5075.029,33078.530,4356.594,MEASURED
PHASE4_IN_PROCESS,4,phase5,child_profiled_total_us,98,2585.536,1867.188,1227.190,15019.792,1888.970,MEASURED
PHASE4_IN_PROCESS,4,phase5,startup_uninstrumented_residual_us,98,7902.298,7135.573,3812.880,31384.494,3781.842,MEASURED
PHASE4_IN_PROCESS,4,phase5,direct_api_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,4,phase5,file_io_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,4,phase5,result_parse_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,4,phase5,total_phase_us,98,10599.833,9690.989,5197.174,33189.195,4358.453,MEASURED
PHASE4_IN_PROCESS,4,phase5,pipeline_total_us,98,449994.205,441289.897,371092.719,505805.086,46523.489,MEASURED
PHASE4_IN_PROCESS,4,phase5,pipeline_service_rate_apps_sec,98,43.958,45.322,39.541,48.505,3.308,MEASURED
PHASE4_IN_PROCESS,4,phase5,aggregate_throughput,98,12548112.498,12514958.774,12377415.857,12773571.831,130390.323,MEASURED
PHASE4_IN_PROCESS,4,phase5,runtime_cpu_percent,98,33.376,33.325,32.518,34.151,0.546,MEASURED
PHASE4_IN_PROCESS,4,phase5,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
