workload,mode,metric,count,mean,median,min,max,stddev,status
random,INTEGRATED,worker_execution_us,5,2463.973,2518.034,1970.681,2776.828,299.318,MEASURED
random,INTEGRATED,phase3_us,5,2458.974,2512.391,1967.100,2771.497,298.582,MEASURED
random,INTEGRATED,pipeline_serial_wait_us,5,281.276,278.950,244.088,303.797,24.249,MEASURED
random,INTEGRATED,phase4_us,5,5454.089,5580.871,4411.794,6345.139,847.015,MEASURED
random,INTEGRATED,phase5_us,5,5801.095,5376.544,4824.830,7166.685,922.848,MEASURED
random,INTEGRATED,phase6_us,5,5103.362,4801.268,3800.025,7461.209,1491.315,MEASURED
random,INTEGRATED,coordinator_overhead_us,5,880.803,857.312,737.057,1045.631,112.452,MEASURED
random,INTEGRATED,completion_latency_us,5,2754.447,2652.182,2124.983,3647.076,553.190,MEASURED
random,INTEGRATED,queue_depth_max,5,0.000,0.000,0.000,0.000,0.000,MEASURED
random,INTEGRATED,runtime_cycle_total_us,5,106094.452,107246.970,101455.362,110385.769,3614.479,MEASURED
random,INTEGRATED,runtime_cycle_count,5,1.000,1.000,1.000,1.000,0.000,MEASURED
random,INTEGRATED,jobs_submitted,5,1.000,1.000,1.000,1.000,0.000,MEASURED
random,INTEGRATED,jobs_executed,5,1.000,1.000,1.000,1.000,0.000,MEASURED
random,INTEGRATED,jobs_deferred,5,0.000,0.000,0.000,0.000,0.000,MEASURED
random,INTEGRATED,queue_saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
hot,BASELINE,benchmark_elapsed_ms,5,141.599,138.372,130.095,167.129,14.701,MEASURED
hot,BASELINE,benchmark_throughput_ops_sec,5,14234325.227,14453797.913,11966812.318,15373336.322,1326265.290,MEASURED
hot,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,benchmark_cpu_percent,5,178.336,177.271,174.556,182.316,3.175,MEASURED
hot,BASELINE,benchmark_rss_kb,5,10056.000,10056.000,10056.000,10056.000,0.000,MEASURED
hot,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
