workload,mode,metric,count,mean,median,min,max,stddev,status
random,INTEGRATED,worker_execution_us,5,2229.922,2163.493,1712.866,2752.038,456.684,MEASURED
random,INTEGRATED,phase3_us,5,2219.940,2158.282,1708.925,2721.393,448.684,MEASURED
random,INTEGRATED,pipeline_serial_wait_us,5,259.203,253.009,227.659,293.090,26.079,MEASURED
random,INTEGRATED,phase4_us,5,7065.813,4568.700,3935.627,12043.752,4022.421,MEASURED
random,INTEGRATED,phase5_us,5,5939.654,6054.518,4245.838,7110.561,1047.117,MEASURED
random,INTEGRATED,phase6_us,5,4994.650,5170.266,3447.580,5778.465,926.668,MEASURED
random,INTEGRATED,coordinator_overhead_us,5,888.176,932.867,705.890,1015.970,120.728,MEASURED
random,INTEGRATED,completion_latency_us,5,2484.793,2292.836,1852.660,3162.940,538.931,MEASURED
random,INTEGRATED,queue_depth_max,5,0.000,0.000,0.000,0.000,0.000,MEASURED
random,INTEGRATED,runtime_cycle_total_us,5,104903.455,103166.403,99676.725,116247.621,6516.920,MEASURED
random,INTEGRATED,runtime_cycle_count,5,1.000,1.000,1.000,1.000,0.000,MEASURED
random,INTEGRATED,jobs_submitted,5,1.000,1.000,1.000,1.000,0.000,MEASURED
random,INTEGRATED,jobs_executed,5,1.000,1.000,1.000,1.000,0.000,MEASURED
random,INTEGRATED,jobs_deferred,5,0.000,0.000,0.000,0.000,0.000,MEASURED
random,INTEGRATED,queue_saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
hot,BASELINE,benchmark_elapsed_ms,5,157.381,156.604,145.165,168.377,8.562,MEASURED
hot,BASELINE,benchmark_throughput_ops_sec,5,12738538.754,12771052.172,11878122.669,13777461.658,702413.368,MEASURED
hot,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,benchmark_cpu_percent,5,177.589,179.596,167.124,184.485,6.630,MEASURED
hot,BASELINE,benchmark_rss_kb,5,10030.400,9992.000,9928.000,10184.000,97.061,MEASURED
hot,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,queue_depth_max,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,runtime_cycle_count,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,jobs_submitted,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,jobs_executed,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,jobs_deferred,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,BASELINE,queue_saturation_events,0,NA,NA,NA,NA,NA,UNAVAILABLE
hot,INTEGRATED,benchmark_elapsed_ms,5,181.571,177.596,167.629,211.011,17.058,MEASURED
hot,INTEGRATED,benchmark_throughput_ops_sec,5,11086060.620,11261491.755,9478159.457,11931101.871,947258.619,MEASURED
hot,INTEGRATED,runtime_cpu_percent,5,57.528,58.976,50.257,60.752,4.343,MEASURED
hot,INTEGRATED,runtime_rss_kb,5,4521.600,4624.000,4240.000,4624.000,166.892,MEASURED
hot,INTEGRATED,runtime_vms_kb,5,154608.800,154620.000,154592.000,154620.000,15.336,MEASURED
hot,INTEGRATED,benchmark_cpu_percent,5,176.179,175.306,174.205,178.869,2.169,MEASURED
hot,INTEGRATED,benchmark_rss_kb,5,10158.400,10184.000,10056.000,10184.000,57.243,MEASURED
hot,INTEGRATED,discovery_us,5,56650.268,57543.628,51904.173,59530.107,2961.607,MEASURED
hot,INTEGRATED,queue_wait_us,5,833.054,76.642,61.014,3478.549,1489.303,MEASURED
hot,INTEGRATED,worker_execution_us,5,2298.421,2499.040,1878.447,2607.694,349.682,MEASURED
hot,INTEGRATED,phase3_us,5,2293.392,2493.022,1874.481,2601.722,348.603,MEASURED
hot,INTEGRATED,pipeline_serial_wait_us,5,256.454,270.585,183.524,305.813,53.749,MEASURED
hot,INTEGRATED,phase4_us,5,5767.632,3998.890,3932.203,11109.030,3088.662,MEASURED
hot,INTEGRATED,phase5_us,5,4817.831,4643.261,3894.302,5720.003,815.610,MEASURED
hot,INTEGRATED,phase6_us,5,4765.278,4161.329,3304.821,6761.568,1432.832,MEASURED
hot,INTEGRATED,coordinator_overhead_us,5,881.412,872.912,668.448,1052.154,141.343,MEASURED
hot,INTEGRATED,completion_latency_us,5,3188.879,2748.738,1992.545,6104.742,1689.750,MEASURED
hot,INTEGRATED,queue_depth_max,5,0.000,0.000,0.000,0.000,0.000,MEASURED
hot,INTEGRATED,runtime_cycle_total_us,5,111121.812,112950.111,103723.276,113583.275,4175.950,MEASURED
hot,INTEGRATED,runtime_cycle_count,5,1.000,1.000,1.000,1.000,0.000,MEASURED
hot,INTEGRATED,jobs_submitted,5,1.000,1.000,1.000,1.000,0.000,MEASURED
hot,INTEGRATED,jobs_executed,5,1.000,1.000,1.000,1.000,0.000,MEASURED
hot,INTEGRATED,jobs_deferred,5,0.000,0.000,0.000,0.000,0.000,MEASURED
hot,INTEGRATED,queue_saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
moderate,BASELINE,benchmark_elapsed_ms,5,234.314,227.601,219.904,261.178,17.548,MEASURED
moderate,BASELINE,benchmark_throughput_ops_sec,5,8572303.437,8787294.292,7657619.061,9094881.156,614178.851,MEASURED
moderate,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
